arm,seed,label,n_days,start,end,start_equity,end_equity,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,turnover_per_cycle,total_costs,time_in_market,n_cycles,risk_free_rate
full,0,full/seed0,2765,2015-01-02,2025-12-30,100000.0,308505.6198039691,2.085056198039691,0.10792133734701892,0.11485378897657068,0.9519568294955308,1.2505572515791985,-0.1505403530802391,0.7168930797544766,0.5510130246020261,0.87662327519655,44383.49399999999,0.7753201292990185,571,0.0
full,1,full/seed1,2765,2015-01-02,2025-12-30,100000.0,285786.917624602,1.85786917624602,0.10023838146374442,0.1174154055594545,0.8742723648949488,1.1594955044852169,-0.152816911390253,0.6559377529085295,0.5455861070911722,0.9074894829186416,42767.5653,0.7800942114841999,571,0.0
full,2,full/seed2,2765,2015-01-02,2025-12-30,100000.0,314162.9795828705,2.141629795828705,0.10975437506005115,0.11970726280175252,0.9319997809220062,1.2080698575514282,-0.20303637486724757,0.5405650841225493,0.5477568740955138,0.8803083001462603,46843.2137,0.8002919649026333,571,0.0
full,3,full/seed3,2765,2015-01-02,2025-12-30,100000.0,271389.459860448,1.7138945986044805,0.09507670780280786,0.11903559924007313,0.8243291361259414,1.1092085383253139,-0.16073219210468587,0.591522498124606,0.5495658465991317,0.9108215660960092,42950.4712,0.7599732637172526,571,0.0
full,4,full/seed4,2765,2015-01-02,2025-12-30,100000.0,285841.4024895689,1.8584140248956893,0.1002574618591705,0.11681773270244697,0.8783440737778877,1.1463345308903738,-0.14045266436863885,0.7138167318494574,0.5539073806078147,0.9339107465732671,43036.297,0.7682903275141167,571,0.0
full,5,full/seed5,2765,2015-01-02,2025-12-30,100000.0,362540.5948550389,2.625405948550389,0.1243083422358604,0.1144108128203394,1.0838032350040496,1.4711633110127194,-0.12905884167464973,0.9631912128053568,0.5441389290882779,0.8784554400872594,48794.326499999996,0.7882438810320206,571,0.0
full,6,full/seed6,2765,2015-01-02,2025-12-30,100000.0,321954.4245915011,2.2195442459150114,0.11223036010785026,0.11536577972766877,0.9819818541556163,1.2920197478598376,-0.14351773552147834,0.7819964529126386,0.5455861070911722,0.8806300354215857,46155.9227,0.7840507702577206,571,0.0
full,7,full/seed7,2765,2015-01-02,2025-12-30,100000.0,279789.59511896723,1.7978959511896724,0.09811765387233295,0.11590981959340782,0.8674448711776157,1.1630867079237763,-0.15067211260699162,0.6511998283866899,0.5448625180897251,0.9171444140258622,44561.500199999995,0.7660226879025499,571,0.0
full,8,full/seed8,2765,2015-01-02,2025-12-30,100000.0,309894.84491590376,2.0989484491590376,0.10837427236992658,0.11592404545990193,0.9477337860644516,1.2799757421282505,-0.15284980010319132,0.709024626115058,0.5535455861070911,0.9138302327157295,46427.519100000005,0.7682364068419881,571,0.0
full,9,full/seed9,2765,2015-01-02,2025-12-30,100000.0,344262.66222615464,2.4426266222615465,0.11902967896943828,0.11561511307037574,1.0329151840770328,1.3897636257995092,-0.1483525967144319,0.8023430772739479,0.5510130246020261,0.8810078584539972,44580.1571,0.7761564480938221,571,0.0
