arm,Episode,Days,Return,MaxDD,Sharpe
full,2015-2019 (pre-COVID),1258,0.8431415875485033,-0.12047111338266625,1.1284830359546734
full,2020 crash,62,-0.06137355835291525,-0.11621109280905319,-1.161388034332053
full,2020-21 recovery,443,0.2643371525518967,-0.06055405694932457,1.4129978562260233
full,2022 bear,251,-0.06440650240944112,-0.12781547308535995,-0.5002861931132236
full,2023-2025,751,0.49761015781763773,-0.09148507634624126,1.4094547290322972
no_pods,2015-2019 (pre-COVID),1258,0.8699919481109548,-0.11113741725504712,1.1916714383216649
no_pods,2020 crash,62,-0.04983880914770533,-0.11186675089811668,-0.9676518877581836
no_pods,2020-21 recovery,443,0.2666583525850401,-0.06219993574642069,1.4313635102226727
no_pods,2022 bear,251,-0.06371686960074363,-0.12589999133022406,-0.5123152401570347
no_pods,2023-2025,751,0.543993041452729,-0.11698660667912063,1.5454331406181108
hmm_only,2015-2019 (pre-COVID),1258,0.679042891775387,-0.1297477574917573,0.9486185502552288
hmm_only,2020 crash,62,-0.06852148371346123,-0.11469182068287183,-1.3544897459358425
hmm_only,2020-21 recovery,443,0.28960620569357864,-0.05651792562935545,1.5365736231550378
hmm_only,2022 bear,251,-0.10838834467646064,-0.16272402389796722,-0.8876694397318112
hmm_only,2023-2025,751,0.4413725134512474,-0.10426280671313713,1.3812139146662858
no_decay,2015-2019 (pre-COVID),1258,0.8306016352873784,-0.11731230062214532,1.125506718739673
no_decay,2020 crash,62,-0.04935160362294666,-0.10333536154093195,-1.0024386034044979
no_decay,2020-21 recovery,443,0.2604300592111264,-0.05998130247734291,1.3995974944938094
no_decay,2022 bear,251,-0.07115039732745754,-0.13263378534363604,-0.567338344790642
no_decay,2023-2025,751,0.48488540957962756,-0.0921306833108893,1.4269810853610472
no_bandit_a,2015-2019 (pre-COVID),1258,0.8515565278396802,-0.1182804829635967,1.1388385166035542
no_bandit_a,2020 crash,62,-0.056376514714026715,-0.112583913038454,-1.0524336028447276
no_bandit_a,2020-21 recovery,443,0.253412977787419,-0.06329926153989698,1.3598823064195662
no_bandit_a,2022 bear,251,-0.0664990526871917,-0.1277371803966759,-0.520784261531099
no_bandit_a,2023-2025,751,0.45821667304516867,-0.09128438203939752,1.2920333381766027
no_bandit_b,2015-2019 (pre-COVID),1258,0.7290664545897796,-0.13233876450683238,1.0073792467512817
no_bandit_b,2020 crash,62,-0.06588016308824829,-0.11746175558255681,-1.259679923147845
no_bandit_b,2020-21 recovery,443,0.2484268416020221,-0.06515601407871403,1.3409780811157683
no_bandit_b,2022 bear,251,-0.09054429376046258,-0.1441910571191004,-0.7412032904587541
no_bandit_b,2023-2025,751,0.37400849191709407,-0.10546157418083592,1.2175523778978625
no_bandit_c,2015-2019 (pre-COVID),1258,0.8800425020146998,-0.11551472797997168,1.1684415746517993
no_bandit_c,2020 crash,62,-0.05398640243472397,-0.1069433565393879,-1.0432716247702054
no_bandit_c,2020-21 recovery,443,0.2614603539698179,-0.06048340509458791,1.402572785100629
no_bandit_c,2022 bear,251,-0.06101190972807802,-0.12360064132816681,-0.47616413882281033
no_bandit_c,2023-2025,751,0.4586340654840393,-0.0953565415297002,1.354737808488505
buy_and_hold,2015-2019 (pre-COVID),1258,3.089574311039401,-0.4198102883746544,1.274311363290225
buy_and_hold,2020 crash,62,0.006022958148812263,-0.327278348460329,0.39055761426528146
buy_and_hold,2020-21 recovery,443,2.713931821480269,-0.19882619958644965,2.2744921620234027
buy_and_hold,2022 bear,251,-0.44450752891459555,-0.5581930597387109,-0.8721310418903526
buy_and_hold,2023-2025,751,9.105716163469765,-0.35566169785919144,1.9099724215418723
static_40,2015-2019 (pre-COVID),1258,0.5579440999568632,-0.054374026470146136,1.5523767333529217
static_40,2020 crash,62,-0.007022466344060341,-0.05869134864156001,-0.23352894326674056
static_40,2020-21 recovery,443,0.19354332594130685,-0.03644331746098621,1.9548358104307408
static_40,2022 bear,251,-0.05052039707504696,-0.08387789001472337,-0.8980654302681846
static_40,2023-2025,751,0.3034755926829076,-0.05506765929156187,1.8086292469777032
benchmark_spx,2015-2019 (pre-COVID),1258,0.7387491253347958,-0.1934890512893303,0.8940648816312672
benchmark_spx,2020 crash,62,-0.2019404969230919,-0.3371726250707552,-1.4083749289498475
benchmark_spx,2020-21 recovery,443,0.9801459082690911,-0.09440454718383026,2.341808668893851
benchmark_spx,2022 bear,251,-0.1864640166099515,-0.2449638016480461,-0.7352909148457816
benchmark_spx,2023-2025,751,0.876722168232049,-0.18755231257856878,1.4544914107761078
