Date,full,no_pods,hmm_only,no_decay,no_bandit_a,no_bandit_b,no_bandit_c,buy_and_hold,static_40,benchmark_spx
2015-01-26,100943.13965436455,100563.41181250557,100535.2494626118,100943.78446323056,100964.94880531607,100534.79928898576,100662.08634838315,99579.20546672585,100168.14837695478,100576.64843426693
2015-01-27,99904.71719082734,99446.99433680763,99326.45282065785,99905.36199969337,99818.74947176184,99514.35017182244,99746.61484900226,98399.20269908172,99722.48135029423,99249.98653979672
2015-01-28,98873.03020601446,98429.01001787283,98369.00868022253,98873.67501488049,98802.37328847176,98494.56648543882,98710.67232201523,97088.02383230314,99258.41760963209,97977.19524630917
2015-01-29,100026.20619943032,99624.35507667436,99595.87641670191,100026.85100829636,99931.08886322747,99706.97493227254,99914.3571860054,98559.74090226367,99818.389607654,98882.82181418026
2015-01-30,98185.5333417841,97760.18572225644,97629.30905787852,98186.17815065011,98087.73165360997,97828.401544299,98052.1865900169,96047.14979745234,98833.05467911909,97639.40297528256
2015-02-02,98856.5310833657,98532.30128346037,98281.79416278812,98864.84669503251,98748.6152583927,98497.7817849477,98744.9215080055,97273.43794013433,99130.27331099186,98848.55696490657
2015-02-03,99312.35567352976,99379.65944446014,98848.55483353119,99317.14916797103,99197.17364491966,99063.84113851543,99278.33278922498,98618.7408531192,99408.16820064228,100278.05862341488
2015-02-04,99024.84419492849,99159.9182355965,98535.97153966918,99056.65984772728,98910.87091128199,98765.89667277092,98929.90955704846,98305.22119728102,99296.68421885451,99896.18958401668
2015-02-05,99437.4928856411,99687.15909127434,98995.66975824862,99470.2057601393,99319.4111508796,99236.4035149832,99358.04325872121,99166.63388766322,99492.53974353976,100904.64687268245
2015-02-06,97948.69658345671,99159.91496646646,97640.13099795596,98049.17446116936,97816.60237654397,97803.07566736474,97807.26264913818,98455.74315377479,99134.74070954593,100625.62664056575
2015-02-09,97540.54015057106,98684.81710649891,97222.32820436491,97637.71057031504,97411.2233213374,97394.95565532584,97424.82756279144,97589.93748504399,98847.92808670504,100175.23694586361
2015-02-10,98594.98234531115,99681.81463426037,98345.60052031906,98693.20375325854,98460.30863273202,98442.79327431736,98477.59718307454,99413.93255006956,99446.37503592114,101242.42105722225
2015-02-11,98122.65795259841,99229.83294682598,97830.48423190173,98220.42785046806,97994.67658658625,97968.50093587677,98037.76986947442,98510.66734054743,99127.01188630017,101301.17500964535
2015-02-12,99262.27159411785,100161.83503207589,99125.39177057141,99361.27753303917,99142.97543420365,99069.7278762793,99328.7048961602,99954.23146664958,99461.28379880288,102275.35840579403
2015-02-13,99233.52097454727,100154.93569673311,99060.38719736149,99332.51508239083,99119.21790925162,99036.39259285144,99327.49568460401,99880.8844967364,99430.07165085453,102696.36660266292
2015-02-17,99536.86254073806,100399.11365072503,99308.30655900485,99640.11750676138,99422.00008644945,99299.72056312473,99621.01075382598,100243.35849730614,99573.9433673213,102857.93318939388
2015-02-18,99237.04252252006,100031.8202048474,99026.01415563135,99313.84147614139,99141.38792610707,99037.3869032338,99286.61768719493,100310.79940713938,99560.25884352443,102867.70893551815
2015-02-19,98495.01717007741,99558.7468047045,98267.95288616567,98632.58417991371,98361.18358837288,98207.59282199484,98699.54438270663,99623.33173627639,99293.78311012992,102794.29588553036
2015-02-20,98994.94388738542,100009.40861547248,98759.66298954134,99129.07163860809,98861.61389780056,98711.90835521699,99168.82785744531,100229.572490052,99506.83099644672,103411.12647516049
2015-02-23,98777.04570970451,99811.22857411158,98548.28406060582,98902.75492938193,98657.4585646916,98499.10561447,98946.89494399926,100033.29999627391,99442.33523260447,103396.40407489194
2015-02-24,99365.35490024112,100452.69954643949,99066.49935997376,99490.49267036132,99245.40210190497,99110.7250554426,99520.34481186276,100851.55645514464,99745.6604976218,103690.14670727718
2015-02-25,99223.25476686363,100281.80200034773,98847.73914263924,99342.8744411133,99103.64077639884,98960.13054742046,99372.5339814247,100361.4832313994,99600.36897528273,103602.02030026425
2015-02-26,99693.27265650357,100675.50619042617,99276.42325831689,99807.19807247771,99573.01836742081,99402.7629559409,99837.75881446504,100866.45569007595,99846.19921679085,103479.64713046444
2015-02-27,99531.48283219578,100506.37219545852,99139.80957236221,99646.1463972021,99411.36786663921,99241.10574502898,99673.95591957541,100600.71275501199,99758.95215603529,103127.15958889949
